discount,final price
7.5,493.17303
5.0,356.36398
0.0,520.94995
2.5,1108.2825
6.0,1642.509
7.5,790.5974
10.0,2879.55
11.0,206.8627
8.5,2029.6531
7.5,1658.3584
5.0,559.5025
5.0,999.15295
7.5,3406.0718
8.5,836.40155
0.0,618.96
7.5,72.52
0.0,176.87
0.0,590.27997
2.5,849.34204
5.0,307.3345
10.0,1130.9761
0.0,222.4
11.0,1878.1848
15.0,3543.2847
15.0,2297.0398
2.5,129.3435
11.0,1421.5614
15.0,170.221
3.5,1404.4224
5.0,956.4601
7.5,1074.591
5.0,119.434006
2.5,387.72827
7.5,367.79846
8.5,1716.174
5.0,106.001
15.0,1837.0284
5.0,188.48
2.5,616.9995
0.0,234.17
2.5,1695.9443
0.0,51.449997
2.5,216.14775
3.5,2184.4512
7.5,1464.904
5.0,3277.5
2.5,154.6545
2.5,28.08
2.5,705.08093
3.5,99.8582
0.0,304.34998
7.5,465.83
7.5,1967.6692
7.5,554.2785
5.0,1224.512
2.5,1911.5461
2.5,416.40295
3.5,2591.2566
0.0,239.67
7.5,850.59296
15.0,2099.1516
0.0,89.16
7.5,1705.7926
5.0,328.035
7.5,1316.6266
11.0,732.27423
7.5,225.108
2.5,532.818
5.0,612.864
2.5,16.64325
5.0,3531.5679
5.0,396.207
3.5,1459.7749
6.0,74.7864
0.0,628.05005
3.5,1658.3525
2.5,650.1105
12.5,99.75
3.5,1694.0189
6.0,2331.4634
2.5,1410.8445
7.5,3410.3362
6.0,849.74115
11.0,1006.59
5.0,437.24698
7.5,1509.7386
11.0,2740.5771
0.0,382.32
15.0,2208.64
5.0,3662.896
12.5,3216.8062
2.5,135.38849
7.5,2618.3696
7.5,272.83798
5.0,3332.3625
0.0,662.55005
3.5,2353.5774
5.0,1261.8375
2.5,9.282001
5.0,1036.431
5.0,2142.2974
7.5,1202.7959
5.0,262.7985
5.0,370.5475
0.0,177.4
5.0,2663.61
2.5,406.77
7.5,2255.5198
11.0,1008.95734
6.0,452.75098
11.0,443.0064
15.0,1018.00244
11.0,2581.7297
2.5,879.2648
7.5,549.33905
2.5,260.66626
2.5,200.92801
5.0,1126.5765
10.0,1535.625
5.0,54.169
3.5,1023.7877
5.0,293.265
3.5,3171.743
3.5,1766.2975
0.0,428.48
0.0,15.06
5.0,1049.636
3.5,2331.4014
15.0,3274.2
2.5,1360.827
7.5,1213.748
3.5,3200.789
15.0,883.59204
0.0,286.96
15.0,2924.816
2.5,1891.5391
5.0,1658.7
2.5,2140.0469
11.0,1520.1821
5.0,3081.4958
5.0,206.511
5.0,747.536
2.5,299.832
15.0,860.74396
11.0,58.935802
12.5,2818.5938
3.5,2109.6252
2.5,1850.472
3.5,1061.886
6.0,1393.9072
3.5,2519.808
2.5,1705.7039
10.0,405.918
0.0,214.79999
7.5,1587.5775
15.0,2485.672
6.0,828.32806
6.0,1043.0239
6.0,550.3512
2.5,1594.7295
6.0,2132.0515
7.5,549.20026
5.0,36.822
0.0,111.91
6.0,1368.499
5.0,646.2945
12.5,1099.35
2.5,314.67148
7.5,55.278
2.5,330.40802
2.5,876.3299
5.0,850.136
5.0,2761.65
3.5,1325.3889
5.0,244.13101
2.5,707.616
0.0,45.88
5.0,1603.7236
0.0,286.65002
2.5,230.34375
7.5,1202.574
7.5,1012.17194
6.0,737.1104
11.0,2413.5732
6.0,1816.08
0.0,154.14
3.5,96.229805
3.5,1298.697
0.0,70.2
5.0,337.89597
0.0,553.17
6.0,2581.8792
7.5,697.08
7.5,157.34251
5.0,988.15204
3.5,2316.5115
7.5,98.8455
5.0,2235.483
5.0,547.884
3.5,2743.5337
0.0,649.68
3.5,2246.1726
5.0,1077.243
2.5,1187.4331
5.0,238.032
5.0,1651.7839
7.5,616.88257
6.0,792.87115
11.0,582.7809
8.5,1891.305
3.5,2655.931
3.5,2256.112
3.5,1742.79
2.5,524.82306
7.5,183.09451
6.0,1200.6809
5.0,449.65402
15.0,2317.9246
7.5,159.766
0.0,82.75
5.0,1762.06
5.0,431.661
7.5,2049.6985
15.0,1032.308
3.5,1827.932
6.0,1107.0096
5.0,1053.3599
12.5,2377.3313
2.5,782.8469
0.0,922.04
12.5,1478.2688
2.5,2172.8657
7.5,16.502
6.0,812.81805
5.0,372.85602
2.5,792.324
6.0,1812.4985
2.5,75.6015
0.0,406.7
2.5,94.50676
6.0,1154.7336
11.0,2840.3193
2.5,1246.3815
7.5,454.6745
3.5,849.2965
3.5,1317.4565
0.0,111.28
11.0,1233.3442
5.0,2031.4799
3.5,1271.7156
0.0,237.89
3.5,2143.6895
5.0,1647.072
7.5,1306.618
3.5,2336.2554
2.5,438.28198
2.5,461.448
11.0,106.2838
7.5,2256.3804
5.0,2513.13
2.5,534.924
11.0,571.3444
5.0,387.90402
0.0,4.5
11.0,1506.414
11.0,1663.1875
5.0,3938.5007
5.0,90.003
3.5,1052.2745
5.0,880.08
12.5,1183.7174
12.5,135.71251
5.0,1350.9
5.0,179.2935
2.5,213.72
2.5,348.41626
6.0,1313.5936
0.0,244.82
2.5,1033.1002
5.0,127.63251
5.0,1085.6221
5.0,669.465
15.0,1839.9438
5.0,2149.2798
2.5,1818.3359
2.5,120.27599
3.5,2593.515
11.0,239.0718
3.5,689.09686
5.0,1667.972
0.0,849.25
0.0,286.32
5.0,59.317997
5.0,277.78
2.5,545.3663
3.5,560.12463
0.0,191.02
2.5,252.837
6.0,875.31854
2.5,79.989
5.0,884.944
2.5,321.3795
11.0,1688.7216
8.5,949.58704
5.0,2722.9282
0.0,881.85
3.5,157.31429
12.5,503.7375
5.0,1819.9435
7.5,1619.2125
11.0,1189.0934
5.0,534.603
3.5,2400.2637
3.5,848.9105
3.5,3259.4226
5.0,602.91754
2.5,241.54651
5.0,82.156006
5.0,607.1355
5.0,244.986
0.0,933.88
10.0,2118.897
6.0,507.44962
5.0,2688.8135
5.0,1171.92
5.0,3858.7195
3.5,3075.6865
5.0,1704.7845
11.0,1902.3394
3.5,838.971
0.0,471.4
3.5,1630.0006
11.0,479.8079
0.0,190.44
0.0,454.76
2.5,396.98102
0.0,940.52
12.5,2341.6313
7.5,2788.9863
5.0,1368.4275
0.0,137.16
2.5,456.82648
11.0,2031.7188
5.0,1608.6161
5.0,3061.394
5.0,1109.106
5.0,1382.763
15.0,1986.875
15.0,1429.904
7.5,418.67352
2.5,268.01776
5.0,118.9305
12.5,2784.6
11.0,2847.724
5.0,107.73
8.5,1289.6011
3.5,2128.1145
6.0,1878.1953
2.5,559.9913
7.5,792.1238
3.5,2435.2742
7.5,2550.6318
11.0,1759.8505
7.5,467.17126
2.5,15.5025
0.0,1148.65
6.0,1018.4147
7.5,176.98949
7.5,41.11625
2.5,2107.8428
7.5,664.9455
12.5,797.3524
6.0,1917.4403
0.0,427.88
5.0,932.52
5.0,621.927
2.5,376.0088
5.0,1394.163
5.0,116.052
5.0,659.9175
5.0,131.138
2.5,1989.9069
11.0,1718.0472
5.0,1280.22
11.0,1102.4608
5.0,3353.12
0.0,740.91
5.0,158.289
6.0,614.8728
11.0,1265.0638
8.5,1083.6345
2.5,361.61774
3.5,1566.8899
5.0,768.5025
7.5,3284.9062
0.0,89.7
7.5,296.259
0.0,120.46
6.0,1389.0381
8.5,1138.5345
7.5,3477.1123
0.0,50.14
11.0,819.6188
5.0,3114.3374
5.0,933.2325
6.0,1734.2623
3.5,1891.1299
5.0,165.5185
3.5,1015.46954
11.0,2051.5388
12.5,2280.3376
7.5,943.5
5.0,611.04
7.5,235.88426
2.5,562.1753
2.5,1702.5256
0.0,262.04
2.5,574.99646
15.0,1337.0585
5.0,3366.1921
3.5,2931.6409
7.5,599.8995
11.0,2879.6575
0.0,479.08
0.0,106.59
0.0,526.80005
6.0,36.566
11.0,1730.1776
5.0,688.275
5.0,914.47
7.5,463.73022
5.0,2900.8726
0.0,128.04001
6.0,366.2428
3.5,2140.6594
15.0,1379.72
5.0,224.7415
3.5,757.5926
15.0,2690.59
7.5,1985.013
5.0,63.8115
3.5,1284.2317
2.5,144.144
8.5,1879.9591
2.5,117.136505
5.0,12.2075
3.5,854.411
11.0,809.86444
5.0,1953.2476
3.5,398.738
11.0,636.2076
5.0,1809.256
7.5,1278.498
5.0,117.382
7.5,1091.6572
10.0,1057.266
7.5,1905.7126
2.5,140.42924
2.5,408.27148
2.5,1011.1141
7.5,277.722
3.5,1008.27057
2.5,1913.028
7.5,904.87195
0.0,80.52
7.5,283.568
0.0,150.34
12.5,214.59375
2.5,870.012
0.0,575.84
8.5,524.661
5.0,2884.8743
0.0,239.92
0.0,206.65
3.5,514.84686
6.0,961.43195
15.0,2174.2915
3.5,949.6565
5.0,474.56302
0.0,632.5
11.0,2727.4937
7.5,3144.075
0.0,335.76
6.0,1326.979
11.0,179.3172
2.5,131.25449
2.5,489.03073
2.5,609.8625
3.5,1365.5135
3.5,2998.0042
5.0,439.603
5.0,1364.808
2.5,231.777
5.0,1699.3125
3.5,2480.8994
3.5,2405.5134
11.0,2428.6587
12.5,395.71875
2.5,452.5463
11.0,658.4487
7.5,1593.2568
2.5,510.64648
0.0,168.44
0.0,26.95
7.5,1377.9541
3.5,2426.01
3.5,2499.1956
6.0,2808.72
2.5,270.504
0.0,229.1
5.0,206.036
5.0,665.456
3.5,843.69946
0.0,35.76
7.5,114.478
6.0,892.53
2.5,1108.926
5.0,1524.712
0.0,359.28
5.0,225.093
8.5,1386.225
2.5,400.8225
2.5,1671.384
0.0,149.0
2.5,304.122
2.5,202.96574
3.5,1280.6322
2.5,147.1665
5.0,460.40802
0.0,224.65
0.0,596.44
10.0,77.22
2.5,58.266003
0.0,299.1
11.0,653.0909
5.0,3728.712
7.5,3397.34
0.0,203.19
3.5,1957.3289
0.0,667.96
7.5,842.91547
0.0,624.8
11.0,300.286
6.0,871.2672
5.0,649.75244
7.5,1158.914
7.5,709.2067
0.0,449.12
5.0,2875.536
2.5,1135.3389
15.0,2002.192
5.0,448.47598
11.0,497.85712
6.0,117.876
5.0,130.739
5.0,64.334
6.0,2468.0547
2.5,186.42001
11.0,3037.997
2.5,306.072
5.0,42.3225
6.0,2615.8132
3.5,2738.3423
7.5,2164.7776
11.0,1064.0752
0.0,178.75
3.5,462.96838
0.0,685.85
7.5,300.11624
2.5,1341.0444
5.0,1764.8625
5.0,3463.0159
5.0,36.765
0.0,210.04
0.0,713.6
11.0,1873.9839
0.0,182.95
5.0,1846.0875
6.0,1773.4415
3.5,2077.4326
5.0,397.442
5.0,124.0605
0.0,151.8
0.0,237.3
3.5,2335.609
5.0,659.1575
12.5,2164.1814
2.5,197.8275
3.5,2935.6553
11.0,1429.8384
6.0,2306.572
7.5,795.62024
11.0,1429.2422
7.5,3274.2593
11.0,2566.5107
7.5,844.71
2.5,1352.2373
5.0,175.104
3.5,2853.6113
7.5,3649.9758
3.5,247.5225
5.0,182.97949
5.0,18.8955
3.5,189.14
2.5,482.625
7.5,330.9095
3.5,759.9375
12.5,1964.6814
2.5,442.494
7.5,638.36096
5.0,35.625
5.0,189.24
15.0,1349.9191
5.0,50.16
5.0,335.70148
7.5,195.93352
7.5,162.00449
11.0,596.4068
7.5,191.1975
15.0,383.9365
0.0,616.6
2.5,551.52826
7.5,2251.3574
11.0,1877.9178
8.5,81.1605
5.0,5.1205
3.5,1795.9519
7.5,506.6595
5.0,192.1185
5.0,149.34
15.0,1048.781
7.5,98.124
7.5,1286.453
5.0,1011.9875
0.0,242.97
5.0,484.823
12.5,2471.8313
7.5,914.973
12.5,1134.0
5.0,97.204
5.0,253.2985
7.5,3602.32
5.0,94.62
7.5,580.33575
5.0,1638.0945
0.0,367.52
5.0,2739.8474
0.0,48.78
11.0,1168.9259
15.0,2985.8035
5.0,435.30902
2.5,915.3691
5.0,8.5975
